title,shopLink,createdTime,reviewsLink,reviewsQuantity,priceFormatted,hasVariants,mods,id,currency,creditMonthlyPrice,brand,stock,loanAvailable,discount,unitSalePrice,rating,adjustedRating,categoryId,price,color,full_name
DELL Vostro 3510 210-AZZU-A16 серый,https://kaspi.kz/shop/p/dell-vostro-3510-210-azzu-a16-seryi-106565603/?c=750000000,2022-09-22T07:02:33.803Z,https://kaspi.kz/shop/p/dell-vostro-3510-210-azzu-a16-seryi-106565603/?c=750000000&tab=reviews,0.0,443 375 ₸,False,,106565603,KZT,28051.0,DELL,1,True,0,443375.0,0.0,0,00588,443375.0,серый,DELL Vostro 3510 210-AZZU-A16
Lenovo Legion 5 Pro 16ARH7H 82RG001MUS серый,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16arh7h-82rg001mus-seryi-106357471/?c=750000000,2022-09-07T08:28:42.353Z,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16arh7h-82rg001mus-seryi-106357471/?c=750000000&tab=reviews,0.0,1 189 870 ₸,False,,106357471,KZT,75279.0,Lenovo,1,True,0,1189870.0,0.0,0,00588,1189870.0,серый,Lenovo Legion 5 Pro 16ARH7H 82RG001MUS
Lenovo IdeaPad 3 82K1015TRK черный,https://kaspi.kz/shop/p/lenovo-ideapad-3-82k1015trk-chernyi-105322711/?c=750000000,2022-06-24T11:18:02.532Z,https://kaspi.kz/shop/p/lenovo-ideapad-3-82k1015trk-chernyi-105322711/?c=750000000&tab=reviews,1.0,698 779 ₸,False,,105322711,KZT,44210.0,Lenovo,1,True,0,698779.0,5.0,10,00588,698779.0,черный,Lenovo IdeaPad 3 82K1015TRK
Acer Aspire 5 A515-57 I385SUW1 NX.K3KER.00E серый,https://kaspi.kz/shop/p/acer-aspire-5-a515-57-i385suw1-nx-k3ker-00e-seryi-108193291/?c=750000000,2022-12-22T05:28:36.249Z,https://kaspi.kz/shop/p/acer-aspire-5-a515-57-i385suw1-nx-k3ker-00e-seryi-108193291/?c=750000000&tab=reviews,,349 990 ₸,False,,108193291,KZT,22143.0,Acer,1,True,0,349990.0,0.0,0,00588,349990.0,серый,Acer Aspire 5 A515-57 I385SUW1 NX.K3KER.00E
Lenovo IdeaPad 3 82RK00J2RK серый,https://kaspi.kz/shop/p/lenovo-ideapad-3-82rk00j2rk-seryi-108358464/?c=750000000,2023-01-06T14:50:34.739Z,https://kaspi.kz/shop/p/lenovo-ideapad-3-82rk00j2rk-seryi-108358464/?c=750000000&tab=reviews,,469 990 ₸,False,,108358464,KZT,29735.0,Lenovo,1,True,0,469990.0,0.0,0,00588,469990.0,серый,Lenovo IdeaPad 3 82RK00J2RK
ASUS A516JA-BQ1913 90NB0SR1-M36160 серый,https://kaspi.kz/shop/p/asus-a516ja-bq1913-90nb0sr1-m36160-seryi-106951619/?c=750000000,2022-10-22T08:04:09.717Z,https://kaspi.kz/shop/p/asus-a516ja-bq1913-90nb0sr1-m36160-seryi-106951619/?c=750000000&tab=reviews,1.0,349 990 ₸,False,,106951619,KZT,22143.0,ASUS,1,True,0,349990.0,5.0,10,00588,349990.0,серый,ASUS A516JA-BQ1913 90NB0SR1-M36160
ASUS VivoBook R754EA-AU628W 90NB0TW1-M007X0 серебристый,https://kaspi.kz/shop/p/asus-vivobook-r754ea-au628w-90nb0tw1-m007x0-serebristyi-106242945/?c=750000000,2022-08-27T07:32:50.567Z,https://kaspi.kz/shop/p/asus-vivobook-r754ea-au628w-90nb0tw1-m007x0-serebristyi-106242945/?c=750000000&tab=reviews,3.0,409 990 ₸,False,,106242945,KZT,25939.0,ASUS,1,True,0,409990.0,5.0,10,00588,409990.0,серебристый,ASUS VivoBook R754EA-AU628W 90NB0TW1-M007X0
Acer Aspire 3 A314-35 NX.A7SER.00G серебристый,https://kaspi.kz/shop/p/acer-aspire-3-a314-35-nx-a7ser-00g-serebristyi-108240905/?c=750000000,2022-12-26T08:25:10.244Z,https://kaspi.kz/shop/p/acer-aspire-3-a314-35-nx-a7ser-00g-serebristyi-108240905/?c=750000000&tab=reviews,,199 990 ₸,False,,108240905,KZT,12653.0,Acer,1,True,0,199990.0,0.0,0,00588,199990.0,серебристый,Acer Aspire 3 A314-35 NX.A7SER.00G
Lenovo IdeaPad 3 15IIL05 81WE013CRK серый,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iil05-81we013crk-seryi-101866218/?c=750000000,2021-07-16T12:18:27.012Z,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iil05-81we013crk-seryi-101866218/?c=750000000&tab=reviews,23.0,380 990 ₸,False,,101866218,KZT,24104.0,Lenovo,1,True,0,380990.0,5.0,10,00588,380990.0,серый,Lenovo IdeaPad 3 15IIL05 81WE013CRK
ASUS TUF Gaming FX506H-HN011 90NR0724-M01890 черный,https://kaspi.kz/shop/p/asus-tuf-gaming-fx506h-hn011-90nr0724-m01890-chernyi-101765749/?c=750000000,2021-07-01T04:29:29.633Z,https://kaspi.kz/shop/p/asus-tuf-gaming-fx506h-hn011-90nr0724-m01890-chernyi-101765749/?c=750000000&tab=reviews,4.0,649 990 ₸,False,,101765749,KZT,41123.0,ASUS,1,True,0,649990.0,5.0,9,00588,649990.0,черный,ASUS TUF Gaming FX506H-HN011 90NR0724-M01890
Acer Aspire 3 A315-56-38MN NX.HS5ER.00B черный,https://kaspi.kz/shop/p/acer-aspire-3-a315-56-38mn-nx-hs5er-00b-chernyi-103549874/?c=750000000,2022-01-31T18:36:15.126Z,https://kaspi.kz/shop/p/acer-aspire-3-a315-56-38mn-nx-hs5er-00b-chernyi-103549874/?c=750000000&tab=reviews,0.0,270 720 ₸,False,,103549874,KZT,17128.0,Acer,1,True,0,270720.0,0.0,0,00588,270720.0,черный,Acer Aspire 3 A315-56-38MN NX.HS5ER.00B
Acer Aspire 3 A315-58G-37Q0 NX.ADUER.001 серый,https://kaspi.kz/shop/p/acer-aspire-3-a315-58g-37q0-nx-aduer-001-seryi-102207239/?c=750000000,2021-09-06T08:26:48.934Z,https://kaspi.kz/shop/p/acer-aspire-3-a315-58g-37q0-nx-aduer-001-seryi-102207239/?c=750000000&tab=reviews,15.0,399 993 ₸,False,,102207239,KZT,25307.0,Acer,1,True,0,399993.0,4.5,8,00588,399993.0,серый,Acer Aspire 3 A315-58G-37Q0 NX.ADUER.001
Lenovo IdeaPad Gaming 3 15ACH6 82K200TARK черный,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ach6-82k200tark-chernyi-106952056/?c=750000000,2022-10-22T08:14:11.103Z,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ach6-82k200tark-chernyi-106952056/?c=750000000&tab=reviews,0.0,689 990 ₸,False,,106952056,KZT,43654.0,Lenovo,1,True,0,689990.0,0.0,0,00588,689990.0,черный,Lenovo IdeaPad Gaming 3 15ACH6 82K200TARK
ASUS Zenbook UM3402YA-KP309W 90NB0W95-M00KM0 черный,https://kaspi.kz/shop/p/asus-zenbook-um3402ya-kp309w-90nb0w95-m00km0-chernyi-107847821/?c=750000000,2022-12-02T09:22:24.234Z,https://kaspi.kz/shop/p/asus-zenbook-um3402ya-kp309w-90nb0w95-m00km0-chernyi-107847821/?c=750000000&tab=reviews,,459 990 ₸,False,,107847821,KZT,29102.0,ASUS,1,True,0,459990.0,0.0,0,00588,459990.0,черный,ASUS Zenbook UM3402YA-KP309W 90NB0W95-M00KM0
