brand,color,full_name,price,rating
HP,серебристый,HP 15s-eq2021ur 3B2U5EA,429990,26
HP,серебристый,HP 15s-eq2021ur 3B2U5EA,429990,26
ASUS,черный,ASUS TUF Gaming Dash F15 FX516PC-HN003,576966,15
Lenovo,серебристый,Lenovo IdeaPad 3 15ALC6 82KU009GRK,328990,4
ASUS,черный,ASUS TUF DashF15 FX517ZM-HN093 90NR09Q3-M007B0,757990,2
Apple,золотистый,Apple MacBook Air 13 MLY13,702287,6
Lenovo,черный,Lenovo IdeaPad Gaming 3 15ACH6 82K201U9RK,518990,2
HP,серебристый,HP 14s-fq1024u 5R7W5EA,339900,22
Apple,серый,Apple MacBook Air 13 MLXX3,886868,1
ASUS,черный,ASUS TUF Gaming F15 FX506HE-HN142 90NR0704-M03530,559700,1
Prestigio,серебристый,Prestigio SmartBook 141 C6 PSB141C06CHP_MG_CIS,144990,1
Apple,серый,Apple MacBook Pro 14 MKGQ3,1288638,18
Huawei,серебристый,Huawei MateBook D15 BohrM-WDQ9B,364650,
YEPO,серый,YEPO 737A6 J3455,142973,11
Lenovo,серый,Lenovo IdeaPad 3 82H802EDRK,388999,9
Acer,черный,Acer Nitro 5 AN517-55 NH.QFWER.006,729890,
Apple,серебристый,Apple MacBook Pro 13 MYDC2,751075,40
ASUS,синий,ASUS Vivobook K3400PA-KM159WS 90NB0UY2-M001J0,379990,6
ASUS,серый,ASUS TUF Gaming F17 FX706HEB-HX171W 90NR0714-M002K0,609990,
Acer,черный,Acer Extensa EX215-52-31EB NX.EG8ER.021,238990,2
ASUS,серый,ASUS A516JA-BQ2731 90NB0SR1-M00F70,239990,2
ASUS,черный,ASUS TUF FX517Z-R5165SGN 90NR09Q3-M009R0,689970,
ASUS,серебристый,ASUS X515EA-BQ1965 90NB0TY2-M00MW0,368890,2
Lenovo,черный,Lenovo Legion 5 15IMH6 82NL000GRK,465000,
Apple,серебристый,Apple MacBook Pro 13 MNEP3,744425,5
Acer,черный,Acer Aspire 7 Gaming A715-75G NH.Q87ER.00F,556500,108
Labwe,серебристый,Labwe PBC8C10 LPS114,147990,
ASUS,черный,ASUS TUF Dash F15 FX517ZE-HN046 90NR0953-M00660,596970,4
Lenovo,черный,Lenovo IdeaPad Gaming 3 15IHU6 82K1000XRU,519990,
ASUS,серый,ASUS TUF Dash F15 FX516P 90NR05U1-M01690,567900,22
ASUS,серебристый,ASUS VivoBook R565JA-BQ4051 N8N0CX10H52034C,299990,
Lenovo,черный,Lenovo IdeaPad L3 R541TUN 81LW002GRK,283880,35
HP,серый,HP Victus 15-fb0030ci 6M877EA,498990,3
Lenovo,темно-синий,Lenovo Legion 5 15ACH6H 82JU00BVRK,699990,
Apple,серый,Apple MacBook Air 13 MGN73,716620,46
Apple,серебристый,Apple MacBook Air 13 Z12700034,809980,1
Lenovo,серый,Lenovo IdeaPad 3 15ADA6 82KR00BBRK,307945,12
Acer,серебристый,Acer Aspire 5 A515-56 NX.A1GER.00A,389790,4
ASUS,синий,ASUS M1502IA-BQ011WS 90NB0Y51-M008X0,349990,
HP,серый,HP 240 G8 2X7L7EA,245513,15
ASUS,серый,ASUS M7600QC-KV060W 90NB0V81-M01870,679990,
Lenovo,черный,Lenovo IdeaPad Gaming 3 15IHU6 82K1005ARK,448990,51
HP,серебристый,HP 15s-fq5044ci 6M880EA,409990,3
Lenovo,черный,Lenovo IdeaPad Gaming 3 15IHU6 82K1007MRE,459990,
Lenovo,серый,Lenovo IdeaPad 3 82H802EBRK,299790,2
Dream,черный,Dream Machines RG3050Ti-15KZ20,541199,17
ASUS,синий,ASUS VivoBook Pro M3500QA-L1227 90NB0US2-M003J0,449900,7
ASUS,серый,ASUS TUF Gaming F17 FX706HM-HX031 90NR0743-M02660,747790,7
Lenovo,черный,Lenovo IdeaPad Gaming 3 15ACH6 82K2002DRK,476590,25
Acer,черный,Acer A315-56 NX.HS5ER.002,267367,30
Acer,черный,Acer A315-34 NX.HE3ER.008,237840,48
Leap,белый,Leap T304 SF20GM6,119930,29
Apple,серый,Apple MacBook Pro 13 MNEJ3,916497,
ASUS,серебристый,ASUS D515DA-BQ1253 90NB0T42-M20690,212182,
HP,серый,HP 15s-fq5041ci 6K3C3EA,275890,1
Acer,NX.HE3ER.00Y,Acer Aspire 3 A315-34-P59K P45UN,199970,5
Acer,черный,Acer A715-42G NH.QE5ER.004,484479,25
Acer,серебристый,Acer Swift 3 SF314-511 NX.ABLER.003,339990,4
ASUS,черный,ASUS TUF Dash F15 FX517ZM-HN094 90NR09Q3-M009R0,739789,
Lenovo,серый,Lenovo IdeaPad 3 15IML05 81WB011RRK,234990,
Acer,черный,Acer TravelMate TMB118-M-C6JP NX.VHSER.00A,139990,74
ASUS,серебристый,ASUS Vivobook 15 X1502ZA-BQ227W 90NB0VX2-M008S0,459990,
Lenovo,черный,Lenovo IdeaPad 3 15ADA05 81W1016LRK,187990,1
Lenovo,черный,Lenovo IdeaPad Gaming 3 I585SGN-82K1015LRK,459990,
ASUS,синий,ASUS ExpertBook B1 B1400 B1400CEAE-EB2613R,279970,
Apple,золотистый,Apple MacBook Air 13 MLY23,929409,2
Apple,серебристый,Apple MacBook Air 13 MLXY3,729920,2
Qmax,серый,Qmax VISIONBOOK LP153A,129978,6
Acer,черный,Acer Nitro 5 AN515-55-546H NH.Q7MER.00A,547790,57
Lenovo,черный,Lenovo IdeaPad Gaming 3 15ACH6 82K201R0RK,599900,1
ASUS,синий,ASUS VivoBook Pro K3400PA-KM028W 90NB0UY2-M02010,749000,1
Lenovo,серый,Lenovo Legion 5 Pro 16ACH6H 82JQ000QRK,699990,1
ASUS,серебристый,ASUS VivoBook R754EA-AU628W 90NB0TW1-M007X0,399990,1
Lenovo,черный,Lenovo IdeaPad Gaming 3 15ACH6 82K201R1RK,527990,1
ASUS,серый,ASUS TUF Gaming A17 FA707RM-HX031 90NR0972-M001N0,799990,1
Lenovo,серый,Lenovo Legion 5 Pro 16ACH6H 82RG0099RK,1149896,
Lenovo,серый,Lenovo Legion 5 Pro 16ACH6H 82JQ010BRK,858990,3
ASUS,темно-синий,ASUS Zenbook 14 UX3402ZA-KM067W 90NB0WC1-M007H0,539990,1
Lenovo,черный,Lenovo Legion 5 15ACH6H 82JU000VRK,839990,3
Apple,серый,Apple MacBook Pro 16 MK183,1298850,30
ASUS,серебристый,ASUS VivoBook 15 K513EA-L12013W 90NB0SG2-M38550,379990,1
Huawei,серый,Huawei MateBook D15 BohrD-WFE9A,565900,5
Lenovo,черный,Lenovo Legion 5 15ITH6H 82JH001WRK,699990,2
Acer,черный,Acer A315-23-R1B3 NX.HVTER.00W,204990,16
Lenovo,черный,Lenovo Legion 5 17ACH6 82K0009LRU,589990,1
Apple,серый,Apple MacBook Pro 13 Z11B0004T,1000000,11
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ00EURK,154515,4
Lenovo,серый,Lenovo V15 G2 ALC 82KD002URU,249780,11
Lenovo,серый,Lenovo IdeaPad L3 C41TUN 82HL005TRK,174000,18
ASUS,черный,ASUS E510MA-BR691 90NB0Q65-M13620,223379,16
ASUS,черный,ASUS TUF Dash F15 FX517ZM-HN094 90NR09Q3-M009R0,739789,
HP,серебристый,HP Europe 250 G8 2W8W8EA,284627,6
HP,серый,HP Victus 16-e0141ur 640H8EA,799990,
Lenovo,серый,Lenovo IdeaPad 5 Pro 14ACN6 82L7004CRK,429790,6
ASUS,синий,ASUS Laptop E210MA-GJ320T 990NB0R41-M12660,199990,11
ASUS,серый,ASUS TUF Gaming F15 FX506HM-HN148 90NR0753-M03770,649255,30
Acer,черный,Acer Nitro 5 AN515-55 NH.QB0ER.007,577990,16
Lenovo,серебристый,Lenovo IdeaPad L3 15ITL6 82HL003MRU,303850,6
Huawei,серебристый,Huawei MateBook D15 BoM-WDQ9B,369988,
ASUS,серый,ASUS VivoBook R565JA-BQ2727,244780,
ASUS,серый,ASUS X515EA I382SUW1 90NB0TY1-M25420,357790,4
Lenovo,серебристый,Lenovo IdeaPad L3 15ITL6 82HL002HRK,309460,13
Lenovo,серый,Lenovo V15-IIL 82C500JQRU,199990,3
Lenovo,серый,Lenovo IdeaPad 3 15ALC6 82KU00RMRK,259990,
Lenovo,черный,Lenovo IdeaPad L340-15API 81LW008SRK,176990,22
Lenovo,черный,Lenovo V15 G2 ALC 82KD0032RU,235800,10
ASUS,черный,ASUS VivoBook 14 E410MA-BV1502W,184980,3
Lenovo,серый,Lenovo IdeaPad 5 Pro 14ACN6 82L700NERU,469990,2
Apple,серебристый,Apple MacBook Pro 13 Z11D0003C,1000000,3
HP,серебристый,HP 15s-eq1046ur 64S66EA,357350,1
HP,серебристый,HP 17-cp0079ur 4Z2M0EA,359900,
HP,серый,HP 15s-eq2087ur 517F6EA,234890,13
HP,белый,HP Laptop 15s-eq1354ur A41SUW,279990,18
ASUS,серый,ASUS D515DA-EJ820 90NB0T41-M13860,249560,19
HP,серебристый,HP 14s-dq5003ci 6J305EA,463900,1
HP,серебристый,HP 15s-eq2134ur 61S04EA,359990,14
Lenovo,серый,Lenovo IdeaPad 3 15ABA7 82RN00BGRK,259990,
Neo,серый,Neo 151G,217990,33
Huawei,серый,Huawei Matebook D15 I585SUW WAH9Q,439790,34
Neo,черный,Neo Laptop 14A,139990,12
HP,серебристый,HP dw1042ur 1V2P4EA#ACB,239990,3
Acer,черный,Acer Extensa 15 EX215-52 NX.EG8ER.00Y,254900,10
Realme,Серый,Realme RMNB1002,399898,5
Lenovo,серый,Lenovo ThinkBook 14 G4 IAP 21DH001BRU,649990,
ASUS,черный,ASUS VivoBook X513EA-BQ1819 90NB0SG4-M00DB0,328850,2
ASUS,серый,ASUS X515JF 90NB0SW1-M000H0,249990,23
Apple,серебристый,Apple MacBook Pro 16 MK1E3,1378600,10
Lenovo,серый,Lenovo V15 G2 ITL 82KBS02R00,249900,9
GIGABYTE,черный,GIGABYTE AORUS 15 XE4 73RUB14SD,1104600,
HP,серебристый,HP ENVY x360 15-es1003ur,582990,3
ASUS,серый,ASUS X543MA 90NB0IR7-M001S0 X543MA,179990,7
Acer,черный,Acer Extensa 15 EX215-22 NX.EG9ER.02P,229900,5
Apple,серебристый,Apple MacBook Air 13 MLY03,939780,
ASUS,синий,ASUS B5402CBA-KI0155X 90NX05M1-M005W0,778395,
HP,черный,HP ENVY x360 13-ay1005ur 52W45EA,458900,
Apple,черный,Apple MacBook Air 13 Z160000KQ,899990,
ASUS,черный,ASUS E410MA C42SUN 90NB0Q16-M003T0,224000,10
ASUS,серый,ASUS UM425QA-KI175W 90NB0TV1-M002U0,474990,8
Chuwi,серый,Chuwi CoreBook X 16G/512G,349990,1
ASUS,серый,ASUS X515MA-EJ450 90NB0TH1-M004E0,218699,17
ASUS,серебристый,ASUS F515JA-BQ2729 90NB0SR2-M00F50,238700,
Lenovo,черный,Lenovo IdeaPad Gaming 3 15IHU6 82K10191RK,528990,1
Acer,серебристый,Acer SWIFT 1 SF114-33-C82SUN NX.HYUER.002,209990,2
Acer,серебристый,Acer Aspire 3 A315-58-59NH NX.ADDER.009,410990,1
ASUS,черный,ASUS ROG Zephyrus M16 GU603ZM-K8005W 90NR0911-M001C0,1065990,2
Asus,черный,Asus VivoBook 15 M513UA-L1550WS 90NB0TP1-M000R0,379890,3
Dream,черный,Dream Machines RG3050Ti-15KZ40,547279,
Acer,золотистый,Acer Swift 1 SF114-34 NX.A75ER.004,219990,2
Huawei,серый,Huawei MateBook D16 RLEF-X 53013JHP,569980,
Lenovo,темно-серый,Lenovo Legion 7 16ACHg6 82N6000BRK,1419990,
Lenovo,серый,Lenovo IdeaPad 3 15ALC6 82KU009HRK,390000,16
MSI,черный,MSI Modern 14 B11MOU-889XKZ,272497,2
Lenovo,серый,Lenovo V15 IGL 82C30026RU,165000,8
Acer,черный,Acer Aspire 3 A315-34 NX.HE3ER.00G,225968,34
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ000JRK,154572,58
Apple,серебристый,Apple MacBook Pro 13 MNEQ3,935000,
HP,серебристый,HP Omen 16-c0033ur 65B01EA,729990,
Lenovo,серый,Lenovo IdeaPad 3 15ITL6 82H8028GRE,258607,
Lenovo,серый,Lenovo IdeaPad 3 15IAU7 82RK00B2RK,289990,
HP,серебристый,HP 15s-eq3053ci 6M879EA,459990,
Lenovo,черный,Lenovo IdeaPad Gaming 3 82K100KFRK,629990,
ASUS,серый,ASUS A516JA-BQ2730W 90NB0SR1-M00F60,289990,2
Lenovo,серебристый,Lenovo IdeaPad L3 82HL009ARK,184890,2
ZIK,черный,ZIK Computers ZIK W-1167S 017zik,140900,1
ASUS,серый,ASUS ROG STRIX G17 G713R 90NR08K4-M003R0,1157790,11
ASUS,черный,ASUS ROG Zephyrus M16 GU603ZM-K8005W 90NR0822-M001H0,1382000,1
Lenovo,черный,Lenovo Legion 5 15IMH6 82NL000DRK,625990,2
ASUS,серый,ASUS X515MA X515FA-EJ066T,285990,2
ASUS,серый,ASUS TUF F15 FX506L M05370,577990,
ASUS,серый,ASUS X515MA X515FA-EJ066T,285990,2
ASUS,серый,ASUS TUF F15 FX506L M05370,577990,
Acer,черный,Acer Nitro 5 AN515-55-50ZA NH.Q7MER.00C,499990,47
Lenovo,серый,Lenovo IdeaPad 3 15ABA7 82RN00APRK,359990,
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ0024AK,149999,
YAYA,серый,YAYA One,165390,3
Chuwi,серый,Chuwi GemiBook 13 B08HCS4C7F,179990,5
ZIK,белый,ZIK Computers W-1167S EDU 009zik,89900,13
HP,серебристый,HP ProBook 450 G8 1A893AV,469690,2
ASUS,серый,ASUS TUF FX706HE-HX010 90NR0713-M00990,672700,17
Lenovo,серый,Lenovo IdeaPad 5 Pro 14ITL6 82L300M1RE,389990,
Labwe,черный,Labwe Student Laptop LPS 114,163990,2
ASUS,серебристый,ASUS R565JA-BQ1408T I582SUW,399900,9
ASUS,черный,ASUS ROG Strix G15 G513IE-HN004 90NR0582-M01010,660984,7
ASUS,серый,ASUS ROG Strix G15 G513IH-HN004 90NR07P2-M00160,590000,21
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ005CRK,199987,2
HP,черный,HP Victus 16-E0106UR 64V31EA,662990,
Lenovo,серый,Lenovo Yoga Slim 7 Pro 82NJ004URK,639990,
HP,черный,HP 240 G8 43W44EA,318390,2
HP,серебристый,HP 15S-EQ2047UR 4L5U0EA,419950,2
ASUS,серый,ASUS TUF Gaming F17 FX706HEB-HX103 90NR0713-M03690,578990,
ASUS,синий,ASUS X515JA-EJ1814 90NB0SR3-M00LS0,199990,1
Lenovo,серый,Lenovo IdeaPad 3 15ITL6 82H800NXRK,370000,15
Lenovo,черный,Lenovo V15 G2 ALC 82KD002URU,249990,5
Acer,серый,Acer Predator Triton 500 SE PT516-52s NH.QFRER.003,1949990,
ASUS,серебристый,ASUS X415EA X415EA-EB1311W,299800,1
Lenovo,черный,Lenovo LEGION 5 82JH001VRK,649990,2
ASUS,синий,ASUS VivoBook X571LH-BQ380 90NB0QJ1-M06820,638900,3
ASUS,серебристый,ASUS VivoBook K413EA-EK2384W 90NB0RLB-M00R10,399990,1
Haier,серый,Haier U1510SM C41SUW,197990,11
HP,синий,HP VICTUS 16-e1038ci 6K3C8EA,654990,
Lenovo,серый,Lenovo IdeaPad 3 15IML05 81WB011SRK,259754,
Acer,серый,Acer Aspire 3 A315-58-37VQ NX.ADDER.003,199990,8
HP,серебристый,HP ENVY x360 13-bd0021ur 5B836EA,499990,
Acer,красный,Acer Aspire 3 A315-58 NX.AL0ER.00C,249990,2
HP,синий,HP Victus 16-d0010ur 6D4V2EA,848990,3
ASUS,серый,ASUS G513RM-HQ171 90NR0845-M008R0,925490,9
Acer,черный,Acer EX215-54G NX.EGHER.00K,317890,11
ASUS,серый,ASUS TUF Gaming F15 FX506HC-HN006 90NR0723-M02580,580190,15
Lenovo,черный,Lenovo IdeaPad 3 15IIL05 81WE018LRK,214980,7
Lenovo,серый,Lenovo Legion 5 Pro 16ACH6H 82JQ00C8RK,978670,36
Acer,черный,Acer Extensa 15 EX215-31-P802 NX.EFTER.00L,159990,4
Haier,серебристый,Haier U1520SM C41SUW,169990,27
Lenovo,серый,Lenovo IdeaPad L3 P41TUW 82HL002WRK,169990,9
Lenovo,серый,Lenovo IdeaPad L3 15ITL6 82HL0030RU,169990,20
Lenovo,серый,Lenovo V14-IGL 82C2000YRU,155000,38
HP,темно-серый,HP Victus 16-d1074ci 6X7Q8EA,674990,
Lenovo,зеленый,Lenovo Yoga 7 14ITL5 82BH00EMRU,489990,1
Lenovo,черный,Lenovo IdeaPad 3 15IML05 81WB00T7RK,239990,3
Acer,серый,Acer SF114-34 NX.A77ER.006,308800,10
ASUS,черный,ASUS E510MA-EJ577 90NB0Q61-M11790,204690,
Acer,черный,Acer Extensa EX215-52-586W NX.EG8ER.013,269990,
Acer,серебристый,Acer Aspire 3 A315-58G NX.ADUER.00Y,397200,
Lenovo,серый,Lenovo Yoga Duet 7 13ITL6 82MA002MRK,544990,
Acer,черный,Acer Extensa 15 EX215-22 NX.EG9ER.026,208900,
ASUS,синий,ASUS ExpertBook B1 B1500CEAE-BQ2000T 90NX0441-M23780,319390,2
MSI,черный,MSI GF63 Thin 11SC-292XKZ,599990,
ASUS,серебристый,ASUS UX425EA UX425EA-KI851W,434990,1
Huawei,серебристый,Huawei MateBook D 15 BoM-WFQ9 53013HST,399990,
Huawei,серый,Huawei MateBook D15 BoD-WDI9,369920,3
Apple,серый,Apple MacBook Air 13 Z15S000MP,919610,
Lenovo,черный,Lenovo IdeaPad 3 15ADA05 81W1016NRK,219990,
GIGABYTE,серый,GIGABYTE U4 UD UD-50RU823SD,463384,1
ASUS,серый,ASUS TUF Gaming F15 i5 11400H FX506HCB-HN161,623400,6
Lenovo,синий,Lenovo 14ADA05 81W000VKRU,307677,
Lenovo,черный,Lenovo IdeaPad V15 Gen 3 IAP 82TT000VRU,319990,
HP,серебристый,HP Pavilion 14-dv1005ur 6M869EA,458990,1
Huawei,серый,Huawei MateBook D 15 BohrD-WDI9A,349979,7
